course_number,grade,term,grade_points
HIS315K,A,2020-FALL,4.0
HIS315L,A,2020-FALL,4.0
RHE306,B,2021-SPRING,3.0
RHE309J,A,2021-SPRING,4.0
BIO416K,B,2021-FALL,3.0
UGS016,CR,2022-FALL,
BIO311C,A,2022-FALL,4.0
CH301,A,2022-FALL,4.0
M408C,A,2022-FALL,4.0
CC303,A,2022-FALL,4.0
M408D,A,2023-SPRING,4.0
UGS303,A,2023-SPRING,4.0
CH302,A,2023-SPRING,4.0
BIO311D,A,2023-SPRING,4.0
BIO206L,A,2023-SPRING,4.0
PHY303K,CR,2023-SPRING,
PHY105M,CR,2023-SPRING,
PHY303L,CR,2023-SUMMER,
PHY105N,CR,2023-SUMMER,
E316M,A,2023-SUMMER,4.0
GOV306C,A,2023-SUMMER,4.0
EM306,A,2023-FALL,4.0
ME316T,A,2023-FALL,4.0
M427J,A,2023-FALL,4.0
ES333T,A,2023-FALL,4.0
CS303E,A,2024-SPRING,4.0
ME302,A,2024-SPRING,4.0
ME318M,A,2024-SPRING,4.0
EM319,A,2024-SPRING,4.0
ME314D,A,2024-SPRING,4.0
PSY301,CR,2024-SUMMER,
GOV305C,A,2024-SUMMER,4.0
ME335,A,2024-FALL,4.0
ME134L,A,2024-FALL,4.0
ME334,A,2024-FALL,4.0
ME130L,A,2024-FALL,4.0
ME330,A,2024-FALL,4.0
SDS322E,A,2024-FALL,4.0
ME338,A,2025-SPRING,4.0
ME367S,A,2025-SPRING,4.0
ME140L,A,2025-SPRING,4.0
ME340,A,2025-SPRING,4.0
ME139L,A,2025-SPRING,4.0
ME339,B+,2025-SPRING,3.3
ME353,A,2025-FALL,4.0
ME366J,A,2025-FALL,4.0
SDS320E,A,2025-FALL,4.0
FIN322F,A,2025-FALL,4.0
ME144L,A-,2025-FALL,3.7
ME344,A,2025-FALL,4.0
ME365D,,2026-SPRING,
M427L,,2026-SPRING,
SDS326E,,2026-SPRING,
SDS321,,2026-SPRING,
ME266K,,2026-SPRING,
ME266P,,2026-SPRING,
