course_number,prerequisite_course,prereq_type
M427J,M408D,PREREQ
M427L,M427J,PREREQ
CS313E,CS303E,PREREQ
ME316T,CH301,PREREQ
ME316T,M408D,PREREQ
EM319,EM306,PREREQ
ME318M,M427J,PREREQ
ME314D,EM306,PREREQ
ME335,M408D,PREREQ
ME330,EM306,PREREQ
ME330,M427J,PREREQ
ME330,ME316T,PREREQ
ME330,ME130L,COREQ
ME130L,ME330,COREQ
ME334,CH301,PREREQ
ME334,EM319,PREREQ
ME334,ME134L,COREQ
ME134L,EM319,PREREQ
ME134L,ME334,COREQ
ME338,EM319,PREREQ
ME338,ME334,PREREQ
ME339,ME318M,PREREQ
ME339,ME330,PREREQ
ME339,ME130L,PREREQ
ME339,ME139L,COREQ
ME139L,ME339,COREQ
ME340,ME318M,PREREQ
ME340,ME140L,COREQ
ME140L,ME340,COREQ
ME344,M427J,PREREQ
ME344,ME318M,PREREQ
ME344,ME314D,PREREQ
ME344,ME340,PREREQ
ME344,ME140L,PREREQ
ME344,ME144L,COREQ
ME144L,ME344,COREQ
ME353,ME335,PREREQ
ME365D,ME318M,PREREQ
ME365D,ME335,PREREQ
ME350R,EM306,PREREQ
ME350R,ME318M,PREREQ
ME350R,ME314D,PREREQ
CS327E,CS303E,PREREQ
ME337C,ME318M,PREREQ
ME343,ME330,PREREQ
ME343,ME130L,PREREQ
ME343,ME339,PREREQ
ME343,ME139L,PREREQ
ME378E,CH301,PREREQ
ME378E,ME334,PREREQ
ME336,EM319,PREREQ
ME336,ME334,PREREQ
ME336,ME134L,PREREQ
ME349,ME334,PREREQ
ME349,ME316T,PREREQ
ME379N,M427J,PREREQ
ME364L,ME344,PREREQ
ME366L,M408D,PREREQ
ME366L,ME318M,PREREQ
ME366L,ME335,PREREQ
ME369P,ME318M,PREREQ
